id,manual terms,role,feature,benefit,
313,,mother,my television to warn me when a rated R movie is coming on,I can stop it before my children see it,
315,,housewife,"my fridge to be programmable so that I can insert a list of items I want to keep on hand and when the item gets low, i can push a button to have it added to a shopping list that interacts with my laptop (like via an application) and generates a list fo rme",I can just print out the list (or even better have it on my phone) and take it to the store with me and not forget to pick up things (like milk),
316,,home occupant,a central control unit,I can easily change settings of smart home features in my house. ,
317,,wife,have the lights dim for a romantic evening with my husband,I do not have to move and spoil the moment.,
318,,parent,something to warn me when the stove isn't working right,I can cook the food properly to keep my family from being ill.,
319,,home occupant,security footage of visits by humans only,I can save time when reviewing the footage,
320,,home occupant,"my smart home to recognize a durress phrase,","when I say it, the police will automatically alerted to the presence of an emergency/intruder etc. and respond. (kinda like a silent alarm in the bank0",
321,,home occupant,to be able to lock my house through an app,"if I forget to lock any doors, I can do so from home. ",
323,,parent,a light to kick on when someone approaches my door,I can make sure whether to answer the door or not.,
324,,mother,motion sensors in my home,I can tell when something is moving about if it is suppose to be there.,
325,,mother,my smart home to restrict tv channels when my child turns on the tv (perhaps via a profile menu or something),my child can only access child appropriate channels.,
326,,bill payer,measurements of what each appliance draws in voltage,I can conserve energy,
327,,home occupant,smoke detectors that will alert me if I am away from home,I can know if a fire happens right away.,
328,,pet owner,something that alerts me when my dog is in the trash,stop her from grabbing something she should't.,
329,,home occupant,the house to automatically determine the right temperature to set the thermostat,I will save on my home heating bills,
330,,mother,my smart home to turn off internet access for my child's playstation or computer when a certain time period (to be specified by adult) has been reached,they will not spend the whole day playing on the internet/video games.,
331,,occupant,My house to automatically lock all windows and doors once I close the front door and step on the front steps outsidde,My home will be secure from burgulars,
332,,home occupant,the house to automatically shut off lights in rooms without occupants,I will save on electricity bills,
333,,home occupant,a floor heating controller,I can have comfortable floors during winter time.,
334,,bill payer,lights to turn off if no one has entered a room during a given period,I can save electricity,
335,,home occupant,my porch lights to be programmable to come on when it gets dark,I can see when I get home.,
336,,environment conscious consumer,my smart home to turn off lights in rooms when no motion is detected after 15 minutes,I can save on energy costs and lower energy usage,
